Generator,Run,Loss,Time,Fit,Cos Sim,Est Rank
rand,72,normal,0.180758,0.810939,0.981965,32.000000,
rand,72,rayleigh,0.637021,0.788418,0.981969,32.000000,
rand,72,gamma,0.384128,0.810835,0.981959,32.000000,
rand,72,huber (0.25),0.023584,0.000636,0.173432,32.000000,
rand,72,beta (0.3),0.601624,0.810937,0.981965,32.000000,
rand,73,normal,0.189685,0.811088,0.981994,32.000000,
rand,73,rayleigh,0.662757,0.788560,0.981997,32.000000,
rand,73,gamma,0.480355,0.811084,0.981993,32.000000,
rand,73,huber (0.25),0.027878,0.000636,0.173565,32.000000,
rand,73,beta (0.3),0.623923,0.811080,0.981993,32.000000,
rand,74,normal,0.194166,0.810962,0.981970,32.000000,
rand,74,rayleigh,0.636419,0.788465,0.981974,32.000000,
rand,74,gamma,0.396887,0.810847,0.981964,32.000000,
rand,74,huber (0.25),0.024694,0.000635,0.173265,32.000000,
rand,74,beta (0.3),0.595040,0.810961,0.981970,32.000000,
rand,75,normal,0.199691,0.811115,0.981999,32.000000,
rand,75,rayleigh,0.695406,0.788589,0.982001,32.000000,
rand,75,gamma,0.432973,0.810991,0.981992,32.000000,
rand,75,huber (0.25),0.027759,0.000638,0.173935,32.000000,
rand,75,beta (0.3),0.624485,0.811106,0.981997,32.000000,
rand,76,normal,0.198690,0.811018,0.981981,32.000000,
rand,76,rayleigh,0.682360,0.788497,0.981985,32.000000,
rand,76,gamma,0.427463,0.810917,0.981975,32.000000,
rand,76,huber (0.25),0.023870,0.000635,0.173258,32.000000,
rand,76,beta (0.3),0.588524,0.811020,0.981981,32.000000,
rand,77,normal,0.202392,0.810950,0.981967,32.000000,
rand,77,rayleigh,0.710318,0.788432,0.981970,32.000000,
rand,77,gamma,0.418975,0.810828,0.981960,32.000000,
rand,77,huber (0.25),0.027263,0.000636,0.173584,32.000000,
rand,77,beta (0.3),0.607925,0.810942,0.981966,32.000000,
rand,78,normal,0.201807,0.811124,0.982001,32.000000,
rand,78,rayleigh,0.662647,0.788580,0.982004,32.000000,
rand,78,gamma,0.407892,0.811016,0.981995,32.000000,
rand,78,huber (0.25),0.027191,0.000636,0.173561,32.000000,
rand,78,beta (0.3),0.599978,0.811122,0.982001,32.000000,
rand,79,normal,0.189420,0.810796,0.981938,32.000000,
rand,79,rayleigh,0.699232,0.788336,0.981942,32.000000,
rand,79,gamma,0.425473,0.810682,0.981932,32.000000,
rand,79,huber (0.25),0.026275,0.000635,0.173200,32.000000,
rand,79,beta (0.3),0.604944,0.810797,0.981938,32.000000,
rand,80,normal,0.195013,0.810999,0.981977,32.000000,
rand,80,rayleigh,0.674880,0.788468,0.981979,32.000000,
rand,80,gamma,0.449025,0.810995,0.981976,32.000000,
rand,80,huber (0.25),0.025964,0.000637,0.173681,32.000000,
rand,80,beta (0.3),0.581444,0.810993,0.981976,32.000000,
rand,81,normal,0.196158,0.810905,0.981959,32.000000,
rand,81,rayleigh,0.674414,0.788415,0.981961,32.000000,
rand,81,gamma,0.412855,0.810791,0.981952,32.000000,
rand,81,huber (0.25),0.025736,0.000637,0.173782,32.000000,
rand,81,beta (0.3),0.632575,0.810898,0.981957,32.000000,
rand,82,normal,0.228657,0.811150,0.982006,32.000000,
rand,82,rayleigh,0.735180,0.788612,0.982010,32.000000,
rand,82,gamma,0.394528,0.811031,0.982000,32.000000,
rand,82,huber (0.25),0.036602,0.000635,0.173282,32.000000,
rand,82,beta (0.3),0.635467,0.811151,0.982006,32.000000,
rand,83,normal,0.200257,0.811053,0.981987,32.000000,
rand,83,rayleigh,0.724596,0.788524,0.981991,32.000000,
